"","gender","ethnicity","birth","stark","star1","star2","star3","readk","read1","read2","read3","mathk","math1","math2","math3","lunchk","lunch1","lunch2","lunch3","schoolk","school1","school2","school3","degreek","degree1","degree2","degree3","ladderk","ladder1","ladder2","ladder3","experiencek","experience1","experience2","experience3","tethnicityk","tethnicity1","tethnicity2","tethnicity3","systemk","system1","system2","system3","schoolidk","schoolid1","schoolid2","schoolid3"
"113882","male","afam",1980 Q3,"regular",NA,NA,NA,430,NA,NA,NA,513,NA,NA,NA,"free",NA,NA,NA,"inner-city",NA,NA,NA,"bachelor",NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,"afam",NA,NA,NA,"11",NA,NA,NA,"27",NA,NA,NA
"72742","female","cauc",1979 Q4,"regular+aide","regular+aide","regular+aide","regular+aide",460,651,659,657,506,612,639,626,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","bachelor","bachelor","master","bachelor","level1","apprentice","level1","level2",14,1,8,19,"cauc","cauc","cauc","cauc","37","37","37","37","73","73","73","73"
"185345","male","cauc",1980 Q1,"regular","regular+aide",NA,NA,NA,451,NA,NA,NA,497,NA,NA,"free","free",NA,NA,"rural","rural",NA,NA,"bachelor","master",NA,NA,"level1","level1",NA,NA,16,8,NA,NA,"cauc","cauc",NA,NA,"29","29",NA,NA,"62","62",NA,NA
"119505","male","afam",1980 Q1,"regular",NA,NA,NA,NA,NA,NA,NA,468,NA,NA,NA,"free",NA,NA,NA,"inner-city",NA,NA,NA,"master",NA,NA,NA,"probation",NA,NA,NA,6,NA,NA,NA,"cauc",NA,NA,NA,"11",NA,NA,NA,"33",NA,NA,NA
"60797","male","cauc",1980 Q2,"regular",NA,NA,NA,427,NA,NA,NA,463,NA,NA,NA,"free",NA,NA,NA,"rural",NA,NA,NA,"bachelor",NA,NA,NA,"apprentice",NA,NA,NA,1,NA,NA,NA,"cauc",NA,NA,NA,"4",NA,NA,NA,"6",NA,NA,NA
"37374","male","cauc",1980 Q2,"regular","regular","regular","regular",431,544,627,608,489,572,648,631,"free","free","free","free","rural","rural","rural","rural","bachelor","bachelor","master","master","level1","level1","apprentice","level1",4,12,1,18,"cauc","cauc","cauc","cauc","15","15","15","15","39","39","39","39"
"22345","male","cauc",1980 Q3,"small","small","small","small",422,451,604,600,454,461,593,568,"non-free","free","free","free","rural","rural","rural","rural","specialist","bachelor","master","bachelor","level2","probation","level1","level1",8,1,8,9,"cauc","cauc","cauc","cauc","14","14","14","14","38","38","38","38"
"182830","female","cauc",1980 Q2,"regular","regular+aide","regular+aide","regular+aide",487,651,669,728,547,627,721,700,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","bachelor","bachelor","master","master","level1","notladder","level1","level1",13,23,21,36,"cauc","cauc","afam","cauc","38","38","38","38","74","74","74","74"
"69420","female","cauc",1980 Q2,"regular+aide","regular","regular+aide","regular+aide",497,604,684,702,547,627,626,691,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","master","bachelor","bachelor","bachelor","level1","notladder","notladder","probation",9,12,5,3,"cauc","cauc","cauc","cauc","3","3","3","3","3","3","3","3"
"102614","female","cauc",1979 Q4,"regular+aide",NA,"regular","regular",490,NA,643,644,626,NA,632,645,"free",NA,"free",NA,"rural",NA,"rural","rural","bachelor",NA,"master","bachelor","level1",NA,"level1","probation",6,NA,19,0,"cauc",NA,"cauc","cauc","10",NA,"10","10","13",NA,"13","13"
"133849","female","afam",1980 Q3,"small",NA,NA,NA,428,NA,NA,NA,463,NA,NA,NA,"free",NA,NA,NA,"inner-city",NA,NA,NA,"bachelor",NA,NA,NA,"apprentice",NA,NA,NA,2,NA,NA,NA,"cauc",NA,NA,NA,"11",NA,NA,NA,"30",NA,NA,NA
"158843","male","afam",1980 Q3,"regular+aide","regular+aide","regular+aide","regular+aide",470,505,559,636,473,529,550,629,"free","free","free","free","inner-city","inner-city","inner-city","inner-city","master","master","bachelor","master","level1","level1","level1","level3",10,6,4,12,"afam","afam","cauc","cauc","11","11","11","11","28","28","28","28"
"104554","male","cauc",1980 Q3,"regular+aide","regular+aide","regular+aide","regular+aide",436,503,599,633,494,562,607,684,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","bachelor","master","bachelor","bachelor","level1","level1","level1","level1",4,8,34,10,"cauc","cauc","cauc","cauc","29","29","29","29","62","62","62","62"
"3446","female","cauc",1979 Q4,"regular+aide","regular",NA,NA,442,536,NA,NA,528,601,NA,NA,"non-free","non-free",NA,NA,"suburban","suburban",NA,NA,"master","master",NA,NA,"level1","level1",NA,NA,8,10,NA,NA,"cauc","cauc",NA,NA,"28","28",NA,NA,"61","61",NA,NA
"165658","male","cauc",1980 Q3,"regular","regular+aide","regular+aide","regular+aide",448,536,659,657,528,562,603,636,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","bachelor","master","bachelor","bachelor","level1","level1","level1","level1",16,8,34,10,"cauc","cauc","cauc","cauc","29","29","29","29","62","62","62","62"
"140540","female","cauc",1980 Q2,"regular+aide","regular","regular","regular+aide",463,558,622,657,506,572,632,648,"non-free","non-free","non-free","non-free","suburban","suburban","suburban","suburban","master+","master","bachelor","master","level1","level1","level1","level1",12,13,17,32,"cauc","cauc","cauc","cauc","22","22","22","22","51","51","51","51"
"69792","female","cauc",1980 Q1,"regular+aide","regular","regular","small",448,509,602,612,528,535,574,608,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","master","bachelor","bachelor","master","level1","level1","level1","level1",12,7,8,15,"cauc","cauc","cauc","afam","21","21","21","21","50","50","50","50"
"18557","male","cauc",1980 Q2,"small",NA,NA,NA,442,NA,NA,NA,513,NA,NA,NA,"non-free",NA,NA,NA,"suburban",NA,NA,NA,"bachelor",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"cauc",NA,NA,NA,"18",NA,NA,NA,"42",NA,NA,NA
"10153","female","cauc",1980 Q3,"small","small","small","small",510,604,659,693,626,601,699,700,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","bachelor","master","master",NA,"level1","level1","level1","level1",14,13,10,30,"cauc","cauc","cauc","cauc","38","38","38","38","74","74","74","74"
"149857","male","afam",1980 Q1,"regular","regular","regular","regular",427,472,577,585,473,484,554,601,"free","free","free","free","rural","rural","rural","rural","bachelor","bachelor","bachelor","bachelor","probation","level3","level1","level3",0,7,18,21,"cauc","cauc","cauc","cauc","5","5","5","5","7","7","7","7"
"151281","female","cauc",1980 Q1,"regular+aide","regular",NA,NA,437,524,NA,NA,547,526,NA,NA,"non-free","non-free",NA,NA,"urban","urban",NA,NA,"bachelor","bachelor",NA,NA,NA,"level1",NA,NA,11,20,NA,NA,"cauc","cauc",NA,NA,"13","13",NA,NA,"37","37",NA,NA
"119447","male","cauc",1979 Q4,"regular","regular+aide","regular+aide","regular+aide",467,492,555,582,478,549,550,629,"free","free","free","free","rural","rural","rural","rural","master","bachelor","bachelor","master","level2","level1","notladder","level1",11,16,4,14,"cauc","cauc","afam","cauc","8","8","8","8","11","11","11","11"
"25325","male","afam",1980 Q2,"regular",NA,NA,NA,410,NA,NA,NA,434,NA,NA,NA,"free",NA,NA,NA,"inner-city",NA,NA,NA,"master+",NA,NA,NA,"level1",NA,NA,NA,8,NA,NA,NA,"cauc",NA,NA,NA,"11",NA,NA,NA,"16",NA,NA,NA
"62876","male","cauc",1980 Q2,"small","small","small","small",405,509,586,620,429,495,572,589,"non-free","non-free",NA,"non-free","rural","rural","rural","rural","bachelor","master","bachelor","master","level1","level1","level1","level3",20,6,4,13,"cauc","cauc","cauc","cauc","36","36","36","36","71","71","71","71"
"133376","female","afam",1980 Q1,"regular+aide",NA,NA,NA,398,NA,NA,NA,449,NA,NA,NA,"free",NA,NA,NA,"inner-city",NA,NA,NA,"bachelor",NA,NA,NA,"level1",NA,NA,NA,9,NA,NA,NA,"cauc",NA,NA,NA,"22",NA,NA,NA,"53",NA,NA,NA
"165501","male","cauc",1980 Q2,"regular+aide",NA,NA,NA,421,NA,NA,NA,449,NA,NA,NA,"non-free",NA,NA,NA,"rural",NA,NA,NA,"master",NA,NA,NA,"level1",NA,NA,NA,12,NA,NA,NA,"cauc",NA,NA,NA,"41",NA,NA,NA,"79",NA,NA,NA
"126889","male","cauc",1980 Q3,"regular+aide","regular+aide",NA,NA,NA,536,NA,NA,NA,542,NA,NA,"non-free","free",NA,NA,"urban","urban",NA,NA,"bachelor","master",NA,NA,"probation","level2",NA,NA,0,11,NA,NA,"cauc","cauc",NA,NA,"13","13",NA,NA,"37","37",NA,NA
"44982","male","cauc",1979 Q4,"regular+aide","regular",NA,NA,458,436,NA,NA,547,477,NA,NA,"free","free",NA,NA,"rural","rural",NA,NA,"bachelor","bachelor",NA,NA,"level1","level1",NA,NA,12,32,NA,NA,"cauc","cauc",NA,NA,"9","9",NA,NA,"12","12",NA,NA
"117307","female","cauc",1980 Q3,"small","small","small","small",460,516,614,612,513,535,611,612,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","specialist","bachelor","bachelor","bachelor","level1","level1","level1","apprentice",14,39,8,0,"cauc","afam","cauc","cauc","1","1","1","1","1","1","1","1"
"51801","female","cauc",1980 Q3,"small","regular",NA,NA,456,604,NA,NA,536,578,NA,NA,"non-free","free",NA,NA,"suburban","suburban",NA,NA,"bachelor","bachelor",NA,NA,"level2","probation",NA,NA,13,2,NA,NA,"cauc","afam",NA,NA,"11","11",NA,NA,"24","24",NA,NA
"174490","female","afam",1980 Q3,"regular+aide",NA,NA,NA,388,NA,NA,NA,392,NA,NA,NA,"free",NA,NA,NA,"inner-city",NA,NA,NA,"master",NA,NA,NA,"level1",NA,NA,NA,11,NA,NA,NA,"cauc",NA,NA,NA,"11",NA,NA,NA,"18",NA,NA,NA
"29975","female","afam",1979 Q4,"regular+aide","regular+aide","regular+aide","regular+aide",414,469,557,599,484,502,570,582,"free","free","free","free","inner-city","inner-city","inner-city","inner-city","master","master","bachelor","bachelor","level1","level1","notladder","level1",22,7,6,5,"cauc","cauc","cauc","cauc","11","11","11","11","33","33","33","33"
"76089","female","cauc",1980 Q3,"regular",NA,NA,NA,414,NA,NA,NA,463,NA,NA,NA,"free",NA,NA,NA,"rural",NA,NA,NA,"bachelor",NA,NA,NA,"level1",NA,NA,NA,8,NA,NA,NA,"cauc",NA,NA,NA,"3",NA,NA,NA,"3",NA,NA,NA
"46925","male","afam",1980 Q2,"regular",NA,NA,NA,413,NA,NA,NA,418,NA,NA,NA,"free",NA,NA,NA,"suburban",NA,NA,NA,"bachelor",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"cauc",NA,NA,NA,"11",NA,NA,NA,"20",NA,NA,NA
"18575","male","cauc",1980 Q1,"small","small","small","small",437,548,643,618,500,535,639,612,"non-free","non-free","free","non-free","rural","rural","rural","rural","master","master","master","master","level1","level1","level1","level1",13,14,17,19,"cauc","cauc","cauc","cauc","6","6","6","6","8","8","8","8"
"150583","female","cauc",1979 Q4,"regular","regular+aide",NA,NA,NA,505,NA,NA,NA,567,NA,NA,"non-free","non-free",NA,NA,"suburban","suburban",NA,NA,"bachelor","bachelor",NA,NA,"level1","level1",NA,NA,11,6,NA,NA,"cauc","cauc",NA,NA,"22","22",NA,NA,"51","51",NA,NA
"95583","female","cauc",1980 Q1,"regular+aide",NA,NA,NA,413,NA,NA,NA,454,NA,NA,NA,"free",NA,NA,NA,"rural",NA,NA,NA,"master",NA,NA,NA,"level1",NA,NA,NA,9,NA,NA,NA,"cauc",NA,NA,NA,"3",NA,NA,NA,"3",NA,NA,NA
"121484","male","cauc",1980 Q2,"regular",NA,NA,NA,416,NA,NA,NA,468,NA,NA,NA,"free",NA,NA,NA,"rural",NA,NA,NA,"bachelor",NA,NA,NA,"level1",NA,NA,NA,11,NA,NA,NA,"cauc",NA,NA,NA,"21",NA,NA,NA,"49",NA,NA,NA
"74119","female","cauc",1979 Q4,"regular+aide","regular","regular","regular",433,478,591,624,520,505,579,616,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","master","master","bachelor","bachelor","level1","level1","level1","level1",13,13,20,28,"cauc","cauc","cauc","cauc","40","40","40","40","76","77","77","77"
"153133","male","afam",1980 Q2,"regular+aide",NA,NA,NA,422,NA,NA,NA,444,NA,NA,NA,"free",NA,NA,NA,"inner-city",NA,NA,NA,"bachelor",NA,NA,NA,"level1",NA,NA,NA,16,NA,NA,NA,"afam",NA,NA,NA,"11",NA,NA,NA,"22",NA,NA,NA
"134095","female","cauc",1980 Q1,"regular","regular+aide","regular+aide","regular+aide",421,477,536,554,473,497,526,565,"non-free","free",NA,"non-free","urban","urban","urban","urban","master","bachelor","bachelor","bachelor","level1","notladder","level1","notladder",4,0,12,31,"cauc","cauc","cauc","cauc","20","20","20","20","48","48","48","48"
"63832","male","cauc",1979 Q4,"small",NA,NA,NA,431,NA,NA,NA,520,NA,NA,NA,"non-free",NA,NA,NA,"suburban",NA,NA,NA,"master",NA,NA,NA,"level1",NA,NA,NA,20,NA,NA,NA,"cauc",NA,NA,NA,"11",NA,NA,NA,"17",NA,NA,NA
"172744","female","cauc",1979 Q4,"regular+aide","regular","regular","regular+aide",408,NA,NA,NA,494,518,NA,612,"free","free","free","free","rural","rural","rural","rural","bachelor","bachelor","master","bachelor","level1","probation","level3","level1",14,0,18,14,"cauc","cauc","cauc","cauc","35","35","35","35","70","70","70","70"
"117451","female","cauc",1980 Q3,"small","small",NA,NA,397,460,NA,NA,412,479,NA,NA,"non-free","non-free",NA,NA,"rural","rural",NA,NA,"bachelor","bachelor",NA,NA,"apprentice","level1",NA,NA,3,21,NA,NA,"cauc","cauc",NA,NA,"24","24",NA,NA,"56","56",NA,NA
"7766","male","afam",1979 Q4,"regular",NA,NA,NA,411,NA,NA,NA,449,NA,NA,NA,"free",NA,NA,NA,"inner-city",NA,NA,NA,"bachelor",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"cauc",NA,NA,NA,"11",NA,NA,NA,"32",NA,NA,NA
"108233","female","cauc",1980 Q3,"regular","regular",NA,NA,433,499,NA,NA,506,495,NA,NA,"free","free",NA,NA,"suburban","suburban",NA,NA,"bachelor","master",NA,NA,"level1","level1",NA,NA,8,8,NA,NA,"cauc","cauc",NA,NA,"4","4",NA,NA,"4","4",NA,NA
"75389","male","afam",1980 Q2,"regular","regular+aide",NA,NA,NA,478,NA,NA,NA,484,NA,NA,"non-free","non-free",NA,NA,"rural","rural",NA,NA,"bachelor","master",NA,NA,NA,"level2",NA,NA,5,10,NA,NA,"cauc","cauc",NA,NA,"1","1",NA,NA,"1","1",NA,NA
"15246","male","cauc",1979 Q2,"regular","regular+aide","regular+aide","regular+aide",455,629,637,675,576,653,615,655,"non-free","non-free","non-free","non-free","urban","urban","urban","urban","bachelor","master","master","master","probation","level1","level1","level1",0,12,13,7,"cauc","cauc","cauc","cauc","26","26","26","26","59","59","59","59"
"95808","male","cauc",1980 Q1,"regular+aide","regular+aide","regular+aide","regular+aide",NA,564,566,639,NA,562,607,645,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","bachelor","bachelor","bachelor","bachelor","level1","level1","level1","level1",13,8,13,13,"cauc","cauc","cauc","cauc","32","32","32","32","66","66","66","66"
"174766","male","afam",1980 Q2,"small","small","small",NA,421,512,NA,NA,489,584,NA,NA,"non-free","non-free","non-free",NA,"inner-city","inner-city","inner-city",NA,"master","bachelor","master",NA,"level1","level1","level1",NA,8,8,21,NA,"cauc","cauc","afam",NA,"11","11","11",NA,"28","28","28",NA
"128778","male","cauc",1980 Q3,"regular",NA,NA,NA,400,NA,NA,NA,468,NA,NA,NA,"non-free",NA,NA,NA,"rural",NA,NA,NA,"master",NA,NA,NA,"level1",NA,NA,NA,8,NA,NA,NA,"cauc",NA,NA,NA,"41",NA,NA,NA,"78",NA,NA,NA
"100124","female","afam",1980 Q2,"small",NA,NA,NA,437,NA,NA,NA,528,NA,NA,NA,"free",NA,NA,NA,"inner-city",NA,NA,NA,"bachelor",NA,NA,NA,"level1",NA,NA,NA,14,NA,NA,NA,"cauc",NA,NA,NA,"11",NA,NA,NA,"32",NA,NA,NA
"45120","female","cauc",1979 Q1,"small","small",NA,NA,NA,430,NA,NA,NA,463,NA,NA,"free","free",NA,NA,"rural","rural",NA,NA,"bachelor","master",NA,NA,"level1","level1",NA,NA,12,15,NA,NA,"cauc","cauc",NA,NA,"41","41",NA,NA,"79","79",NA,NA
"140985","female","cauc",1980 Q3,"regular+aide","regular","regular","regular",433,488,545,608,444,523,548,591,"non-free","non-free","free","non-free","rural","rural","rural","rural","bachelor","bachelor","master","bachelor","level1","level1","level1","level1",5,19,19,22,"cauc","cauc","cauc","cauc","31","31","31","31","64","64","64","64"
"118262","male","cauc",1979 Q4,"small","small","small","small",527,651,659,665,547,592,632,659,"non-free","non-free","non-free","non-free","suburban","suburban","suburban","suburban","master","bachelor","bachelor","master","level1","level1","level1","level3",15,9,8,17,"cauc","cauc","cauc","cauc","22","22","22","22","51","51","51","51"
"150575","male","cauc",1980 Q1,"regular","regular+aide",NA,NA,405,434,NA,NA,463,493,NA,NA,"free","free",NA,NA,"rural","rural",NA,NA,"bachelor","master",NA,NA,"level1","level1",NA,NA,11,11,NA,NA,"cauc","afam",NA,NA,"21","21",NA,NA,"49","49",NA,NA
"117565","female","cauc",1980 Q2,"regular+aide","regular+aide","regular+aide","regular+aide",413,509,552,572,429,493,536,574,"free","free","free","free","rural","rural","rural","rural","bachelor","bachelor","bachelor","bachelor","level1","apprentice","notladder","probation",15,2,19,0,"cauc","cauc","cauc","cauc","19","19","19","19","47","47","47","47"
"86874","male","cauc",1980 Q3,"regular+aide","regular",NA,NA,413,482,NA,NA,473,529,NA,NA,"non-free","non-free",NA,NA,"suburban","suburban",NA,NA,"master","master",NA,NA,"level1","level3",NA,NA,14,18,NA,NA,"cauc","cauc",NA,NA,"12","12",NA,NA,"36","36",NA,NA
"89719","female","cauc",1979 Q4,"regular+aide","regular+aide","regular+aide","regular+aide",430,536,614,629,484,529,590,659,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","bachelor","bachelor","bachelor","bachelor","level1","level1","level1","level1",12,39,9,16,"cauc","cauc","cauc","cauc","9","9","9","9","12","12","12","12"
"69086","female","cauc",1980 Q2,"regular","regular+aide","regular+aide","regular+aide",453,527,552,592,468,535,559,603,"non-free",NA,"non-free","non-free","rural","rural","rural","rural","bachelor","bachelor","master","master","level1","level1","level1","level1",11,28,4,16,"cauc","cauc","cauc","cauc","31","31","31","31","64","64","64","64"
"81792","female","cauc",1980 Q1,"regular",NA,NA,NA,468,NA,NA,NA,536,NA,NA,NA,"non-free",NA,NA,NA,"suburban",NA,NA,NA,"bachelor",NA,NA,NA,"level1",NA,NA,NA,12,NA,NA,NA,"cauc",NA,NA,NA,"18",NA,NA,NA,"46",NA,NA,NA
